   ,title                    ,subtitle                                                                          ,link
31 ,GUNNER WIN IT            ,Stat shows Arsenal WILL win title - only ONE team failed from same position       ,https://www.thesun.co.uk/sport/20314868/arsenal-premier-league-title-victory-points-stats/
32 ,UNBEATABLE               ,World Cup 2022 BOOST: Get England at 10/1 to win the Qatar tournament with 10bet  ,https://www.thesun.co.uk/sport/betting-tips/20276952/england-world-cup-odds-best-price-10bet/
33 ,PARKING MAD?             ,"Ten Hag's Man Utd can rival City next season, says ex-Red Devils star Parker"    ,https://www.thesun.co.uk/sport/20315859/man-utd-ten-hag-title-next-season-paul-parker/
34 ,WORK OF ART              ,Arteta CONFIRMS January transfer spending spree to keep up Arsenal title charge   ,https://www.thesun.co.uk/sport/20319646/arsenal-mikel-arteta-january-transfer-spending-spree/
35 ,GUNNING FOR IT           ,Arsenal fans fume after Aubameyang sends message ahead of Chelsea clash           ,https://www.thesun.co.uk/sport/20313568/arsenal-fans-turn-on-pierre-emerick-aubameyang-chelsea/
36 ,TEENAGE KICKS            ,New City hero Lewis captained England & won Pep over after just two minutes       ,https://www.thesun.co.uk/sport/20309524/man-city-rico-lewis-pep-guardiola-england/
37 ,DIO-NO-GO                ,Man Utd set to trigger Dalot extension to ward off Barcelona & AC Milan interest  ,https://www.thesun.co.uk/sport/20297986/man-utd-diogo-dalot-barcelona-ac-milan/
38 ,VVD & KDB                ,Van Dijk says he wants to play with De Bruyne in worrying news for Reds fans      ,https://www.thesun.co.uk/sport/20314246/van-dijk-play-de-bruyne-liverpool-man-city/
39 ,ILKAY WAY                ,Man City facing fight to keep Ilkay Gundogan as top clubs eye up free transfer    ,https://www.thesun.co.uk/sport/20315410/man-city-ilkay-gundogan-free-transfer-atletico-madrid/
40 ,RON WAS RIGHT            ,"Ronaldo being 'humiliated' by Ten Hag and right to strop, says Portugal icon"    ,https://www.thesun.co.uk/sport/20315697/ronaldo-humiliated-ten-hag-man-utd/
41 ,KIERAN TORN-EY           ,Arsenal star Tierney's shirt ripped by opponent... who wasn't even booked         ,https://www.thesun.co.uk/sport/20318741/arsenal-kieran-tierney-shirt-ripped-clean-off-zurich/
